id,sentence,coarse,fine,pol,asp
122,2. The demonstrated tasks are (gridworld and algorithmic) which are very simple RL taks with low-dimensional (non-visual) state-spaces,Fact,Fact,,
123,.,,,,
124,"It's unclear how this would scale to more complex tasks with higher-dimensional state spaces such as Atari, Starcraft II or if this would work with tasks with continuous state and action spaces such as mujoco.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
125,3. The core premise behind training the learner agent with RL is using a curiosity driven approach to train a probing policy to incite new demonstrator behaviors by maximizing the differences between the latent vectors of the behavior trackers at different time steps.,Fact,Fact,,
126,"Because the latent vector is modeled as a non-linear function, distances between latent vector representations do not necessarily correspond to similar distances between behavior policies (for example, KL distances between two policy distributions).",Fact,Fact,,
127,"Since this is for ILCR, I think the authors should have taken a deeper dive into examining those latent representations and potentially visualizing those distances and how they correspond to different policy behaviors.",Evaluative,Evaluative,N-Negative,Substance
128,4. The biggest flaw that I see in this method is the practicality of it's use.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
129,This method relies on the ability to obtain or gain access to a demonstration agent to learn from.,Fact,Fact,,
130,"In very simple tasks, such as the one presented here, the authors were able to hard-code their own demonstration agent.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
131,"However, in harder tasks, this will not be feasible.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
132,"If you are able to obtain or code your own agent, then you've already solved the task and there is no need to do any sort of imitation learning in the first place.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
133,"In reality, for sufficiently difficult tasks, a human would be the demonstration agent (as is done in most robotics tasks).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
134,"In practice, imitation learning from a human works well since the learning can be done offline (i.e., post-hoc after a set of demonstrations are collected from the human).",Fact,Fact,,
135,"However, this task requires the learning to be interactive and thus the demonstrator needs to be present during the learning.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
136,Interactively learning from a human becomes a problem if the learning takes tens of thousands of episodes of training since a human cannot reasonably be expected to be present for that amount of time.,Fact,Fact,,
137,"Thus, the question is 1) how well will this method work with a human acting as the demonstrator? and 2) how can this method work if you are not able to have access to a demonstrator long periods of time (or even at all)?",Request,Request.Explanation,N-Negative,Soundness/Correctness
138,5. My previous comment relates mainly to the application of improved imitation learning.,Fact,Fact,,
139,"However, I do think this is still very useful in the context of multi-agent reinforcement learning for collaborative and competitive tasks (sections 4.6 and 4.7).",Evaluative,Evaluative,P-Positive,Motivation/Impact
140,I think this method demonstrates a method for improved collaborative and/or competitive performances given the fact that you already have a single agent with a learned policy.,Fact,Fact,,
141,"Overall, I think the paper presents a really nice idea of how to improve modeling of agents.",Evaluative,Evaluative,P-Positive,Originality
142,"essentially, a learner agent learns how to probe a demonstrator agent to provide more information about what's being demonstrated and prevent over-fitting to a set of fixed demonstrations.",Fact,Fact,,
143,"This work sounds novel to me from a reinforcement learning perspective, however, I'm not well versed on theory of mind research.",Evaluative,Evaluative,P-Positive,Originality
144,"This paper proposes a Frank-Wolfe based method, called DFW, for training Deep Network.",Structuring,Structuring.Summary,,
145,"The DFW method linearizes the loss function into a smooth one, and also adopts Nesterov Momentum to accelerate the training.",Fact,Fact,,
146,Both techniques have been widely used in the literature for similar settings.,Fact,Fact,,
147,"This paper mainly focuses on the algorithm part, but only empirically demonstrate the convergence results.",Structuring,Structuring.Summary,,
148,"After reading the authors’ feedback and the paper again, I think overall this is a good paper and should be of broader interest to the broader audience in machine learning community.",Evaluative,Evaluative,P-Positive,Substance
149,"In Section 6.1, the authors mention the good generalization is due to large number of steps at a high learning rate. Can we possibly get any theoretical justification on this?",Request,Request.Explanation,U-Neutral,Substance
150,This paper uses multi class hinge loss as an example for illustration.,Fact,Fact,,
151,"Can this approach be applied for structure prediction, for example, various ranking loss?",Request,Request.Experiment,U-Neutral,Replicability
152,* Strengths:,Structuring,Structuring.Heading,,
153,- The paper gives theoretical insight into why Batch Normalization is useful in making neural network training more robust and is therefore an important contribution to the literature.,Structuring,Structuring.Summary,,
154,"- While the actual arguments are somewhat technical as is expected from such a paper, the motivation and general strategy is very easy to follow and insightful.",Evaluative,Evaluative,P-Positive,Substance
155,* Weaknesses:,Structuring,Structuring.Heading,,
156,"- The bounds do not immediately apply in the batch normalization setting as used by neural network practitioners, however there are practical ways to link the two settings as pointed out in section 2.4",Evaluative,Evaluative,U-Neutral,Soundness/Correctness
157,"- As the authors point out, the idea of using a batch-normalization like strategy to set an adaptive learning rate has already been explored in the WNGrad paper.",Structuring,Structuring.Quote,,
158,However it is valuable to have a similar analysis closer to the batch normalization setting used by most practitioners.,Request,Request.Experiment,P-Positive,Meaningful Comparison
159,"- Currently there is no experimental evaluation of the claims, which would be valuable given that the setting doesn't immediately apply in the normal batch normalization setting.",Request,Request.Experiment,U-Neutral,Substance
160,I would like to see evidence that the main benefit from batch normalization indeed comes from picking a good adaptive learning rate.,Request,Request.Experiment,U-Neutral,Soundness/Correctness
161,"Overall I recommend publishing the paper as it is a well-written and insightful discussion of batch normalization. Be aware that I read the paper and wrote this review on short notice, so I didn't have time to go through all the arguments in detail.",Evaluative,Evaluative,P-Positive,Originality
162,1) Summary,Structuring,Structuring.Summary,,
163,This paper proposes a method for learning an agent by interacting and probing an expert agents behavior.,Structuring,Structuring.Summary,,
164,"This method is composed of a policy that learns to imitate an expert’s action, and a policy that challenges the expert in order to get it to take multiple possible routes to solve a task.",Structuring,Structuring.Summary,,
165,"The two policies share a “behavior tracker” that models the expert’s behavior, and communicates it to both policies being learned.",Structuring,Structuring.Summary,,
166,The probing policy is optimized using a curiosity-driven reward in order to get the expert take trajectories the probing policy has not seen before.,Structuring,Structuring.Summary,,
167,"In experiments, the authors perform experiments to show how the learned agent can generalize to unseen configurations in the corresponding environments in which the agents were trained, and also use the proposed technique in a sorting task in which the method generalizes to longer arrays to be sorted.",Structuring,Structuring.Summary,,
168,2) Pros:,Structuring,Structuring.Heading,,
169,+ Neat idea for exploring an experts behavior by changing the environment surrounding it (probing it).,Evaluative,Evaluative,P-Positive,Originality
170,+ Cool experiments for applicability.,Evaluative,Evaluative,P-Positive,Replicability
171,+ Well written paper and easy to understand.,Evaluative,Evaluative,P-Positive,Clarity
172,3 Comments:,Structuring,Structuring.Heading,,
173,- Equation 1 typo?:,Request,Request.Typo,U-Neutral,Substance
174,"To my understanding, in curiosity driven exploration, the exploration is driven based on how well the next state can be predicted by the agent.",Fact,Fact,,
175,"In equation 1, different time steps are being compared, m^t and m^{t-1}, but the comparison should be between the predicted time step t and real time step t. Can the authors clarify why different time steps are compared in the equation?",Request,Request.Clarification,U-Neutral,Substance
176,- Baseline missing: Random actions from expert,Request,Request.Experiment,N-Negative,Meaningful Comparison
177,A simple baseline to compare against could be to simply force the expert to take a few random actions during its trajectory and let the imitator learn from these.,Fact,Fact,,
178,Comparing against this baseline could serve as evidence that we need to actually learn the probing agent to acquire a more optimal policy.,Fact,Fact,,
179,- Baseline missing: Simple RNN policies that communicate hidden states.,Request,Request.Experiment,N-Negative,Meaningful Comparison
180,Another baseline could be to simply model the imitator and probing policies as RNNs and let them communicate with each other via the hidden states.,Fact,Fact,,
181,While optimizing the curiosity reward the hidden states could be used as well.,Other,Other,,
182,"If successful, this baseline can show that we actually need to model the “behavior” with a separate network.",Evaluative,Evaluative,U-Neutral,Meaningful Comparison
183,- Ablation study for the importance of fusion:,Structuring,Structuring.Heading,,
184,The authors have a “fusion” layer within the imitator and probing policies.,Fact,Fact,,
185,An ablation study showing that this layer is actually necessary is missing from the paper.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
186,- Generalizability argument,Structuring,Structuring.Heading,,
187,"The authors claim that they show a single starting configuration for the agents during training, and different starting configurations during testing.",Fact,Fact,,
188,"While I agree with this to some extent, I also think this argument may not be fully right. When the probing agent is testing the expert, it is essentially showing the imitator many different configurations of the environment.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
189,"It may not be that it changes in the first time step (for obvious reasons), but it is essentially showing it many configurations of the expert.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
190,A more drastic change of the environment could make for a stronger argument.,Evaluative,Evaluative,P-Positive,Soundness/Correctness
191,4) Conclusion:,Structuring,Structuring.Heading,,
192,"Overall, I like the idea of having a policy that tries to figure out the general behavior of a demonstrator by probing it.",Evaluative,Evaluative,P-Positive,Motivation/Impact
193,"Having said that, I feel this paper needs to improve in the aspects mentioned above.",Request,Request.Edit,U-Neutral,Substance
194,"If the authors present more convincing evidence that successfully address the comments above, I am willing to increase my score.",Request,Request.Experiment,P-Positive,Substance
195,The idea of image classification based on patch-level deep feature in the BoF model has been studied extensively.,Structuring,Structuring.Summary,,
196,Just list few of them:,Structuring,Structuring.Heading,,
197,"Wei et al. HCP: A Flexible CNN Framework for Multi-label Image Classification, IEEE TPAMI 2016",Other,Other,,
198,"Tang et al. Deep Patch Learning for Weakly Supervised Object Classification and Discovery, Pattern Recognition 2017",Other,Other,,
199,"Tang et al. Deep FisherNet for Object Classification, IEEE TNNLS",Other,Other,,
200,"Arandjelović et al. NetVLAD: CNN Architecture for Weakly Supervised Place Recognition, CVPR 2016",Other,Other,,
201,The above papers are not cited in this paper.,Request,Request.Edit,N-Negative,Other
202,There are some unique points.,Evaluative,Evaluative,P-Positive,Originality
203,This work does not use RoIPooling layer and has results on ImageNet.,Fact,Fact,,
204,"But, the previous works use RoIPooling layer to save computations and works on scene understanding images, such as PASCAL.",Fact,Fact,,
205,"Besides, the paper uses the smallest patch among all the patch-based deep networks.",Fact,Fact,,
206,It is interesting.,Fact,Fact,,
207,I highly encourage the authors to finetune the ImageNet pre-trained BagNet on PASCAL VOC and compare to the previous patch-based deep networks.,Request,Request.Experiment,N-Negative,Substance
208,This paper displays an occurrence of density models assigning higher likelihood to out-of-distribution inputs compared to the training distribution.,Structuring,Structuring.Summary,,
209,"Specifically, density models trained on CIFAR10 have higher likelihood on SVHN than CIFAR10.",Fact,Fact,,
210,This is an interesting observation because the prevailing assumption is that density models can distinguish inliers from outliers.,Evaluative,Evaluative,P-Positive,Motivation/Impact
211,"However, this phenomenon is not encountered when comparing MNIST and NotMNIST.",Fact,Fact,,
212,The SVHN/CIFAR10 phenomenon has also been shown in concurrent work [1].,Other,Other,,
213,"Given that you observed that SVHN has higher likelihood on all three model types (PixelCNN, VAE, Glow), why investigate a component specific to just flow-based models (the volume term)?",Request,Request.Explanation,N-Negative,Soundness/Correctness
214,It seems reasonable to suspect that the phenomenon may be due to a common cause in all three model types.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
215,"For instance, the experiments seem to indicate that generalizing density estimation from CIFAR training set to CIFAR test set is likely challenging and thus the models underfit the true data distribution, resulting in the simpler dataset (SVHN) having higher likelihood.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
216,"Given the title of the paper, it would have been nice if this paper explored more than just MNIST vs NotMNIST and SVHN vs CIFAR10, so that the readers can gain a better feel for when generative models will be able to detect outliers.",Request,Request.Experiment,N-Negative,Substance
217,"For instance, a scenario where the data statistics (pixel means and variances) are nearly equivalent for both datasets would be interesting.",Request,Request.Experiment,U-Neutral,Substance
218,The second order analysis is good but it seems to come down to just a measure of the empirical variances of the datasets.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
219,This paper is well written.,Evaluative,Evaluative,P-Positive,Clarity
220,I think the presentation of this density modelling shortcoming is a good contribution but leaves a bit to be desired.,Evaluative,Evaluative,U-Neutral,Motivation/Impact
221,"[1] Choi, H. and Jang, E. Generative Ensembles for Robust Anomaly Detection.",Other,Other,,
222,https://arxiv.org/abs/1810.01392,Other,Other,,
224,- Interesting observation of density modelling shortcoming,Evaluative,Evaluative,P-Positive,Motivation/Impact
225,- Clear presentation,Evaluative,Evaluative,P-Positive,Clarity
227,- Lack of a strong explanation for the results or a solution to the problem,Evaluative,Evaluative,N-Negative,Soundness/Correctness
228,- Lack of an extensive exploration of datasets,Evaluative,Evaluative,N-Negative,Substance
229,GANs (generative adversarial network) represent a recently introduced min-max generative modelling scheme with several successful applications.,Structuring,Structuring.Summary,,
230,"Unfortunately, GANs often show unstable behaviour during the training phase.",Structuring,Structuring.Summary,,
231,"The authors of the submission propose a functional-gradient type entropy-promoting approach to tackle this problem, as estimating entropy is computationally difficult.",Structuring,Structuring.Summary,,
232,"While the idea of the submission might be useful in some applications, the work is rather vaguely written, it is in draft phase:",Evaluative,Evaluative,N-Negative,Soundness/Correctness
233,"1. Abbreviations, notations are not defined: GAN, WGAN-GP, DNN, FID (the complete name only shows up in Section 4), softplus, sigmoid, D_{\theta_{old}}, ...",Evaluative,Evaluative,N-Negative,Soundness/Correctness
234,"2. While the primary motivation of the work is claimed to be 'mode collapse', it does not turn out from the submission what mode collapse is.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
235,"3. Estimating entropies is a standard practice in statistics and machine learning, with an arsenal of estimators; the motivation of the submission is questionable.",Evaluative,Evaluative,N-Negative,Motivation/Impact
236,"4. Differentiation w.r.t. functions (or more generally elements in normed spaces) is a well-defined concept in mathematics, including the notions of Gateaux, Frechet and Hadamard differentiability.",Fact,Fact,,
237,"It is not clear why the authors neglect these classical concepts, and are talking about 'random functional perturbations', ... It is also unclear where the optimized transformation (T) lives; the authors are trying to differentiate over some function space which is undefined.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
238,"While the idea of the work might be useful in practice, the current submission requires significant revision and work before publication.",Fact,Fact,,
239,---,Structuring,Structuring.Heading,,
240,After paper revisions:,Structuring,Structuring.Heading,,
241,Thank you for the updates.,Social,Social,,
242,The submission definitely improved. I have changed my score to '6: Marginally above acceptance threshold'; the suggested regularization can be a useful heuristic for the GAN community.,Evaluative,Evaluative,P-Positive,Other
243,"This paper addresses the problem of adversarial transferability, i.e. the ability that an adversarial example generated by one model can successfully fool another model.",Structuring,Structuring.Summary,,
244,"There are numerous papers on this topic recently, such as Fawzi'15, Liu'17, Dong'18, Athalye'18...",Structuring,Structuring.Summary,,
245,The authors propose tot study two types of factors that might influence transferability: model-specific parameters and smoothness of loss surface for constructing adversarial examples.,Structuring,Structuring.Summary,,
